S.NO.,STATE NAME,STATE LGD CODE,DISTRICT NAME,DISTRICT LGD CODE,BLOCK NAME,BLOCK LGD CODE,Health,,,,,,,,,Nutrition,,,,,,,,,Basic Infra,,,,,,,Social Infra,,,,,,Education,,,,,,,,,,,,,Agriculture and allied activities,,,,,,,Balanced composite Score
,,,,,,,Percentage of pregnant women registered for Antenatal care (ANC) within the first trimester,Percentage of institutional deliveries against total reported deliveries,Percentage of low-birth weight babies (less than 2500g)(Positive),Percentage of National Quality Assurance Standards (NQAS) certified facilities in Block,Percentage of person screened for Hypertension against targeted population in the Block,Percentage of person screened for Diabetes against targeted population in the Block,Percentage of TB cases treated successfully against TB cases notified a year ago,Composite Score (Most Balanced Performer),Rank,Percentage of pregnant women taking Supplementary Nutrition under the ICDS programme regularly,Percentage of children from 6 months to 6 years taking Supplementary Nutrition under the ICDS programme regularly,Measurement efficiency of children enrolled at Anganwadi Centres during the reporting month,Percentage of children under 5 years with Severe Acute Malnutrition (SAM),Percentage of children under 5 years with Moderate Acute Malnutrition (MAM),Percentage of operational Anganwadis Centres with functional toilets,Percentage of operational Anganwadis Centres with drinking water facilities,Composite Score (Most Balanced Performer),Rank,Percentage of Households (HHs) with functional tap water connections (FHTC) against total number of HHs in the block,Percentage of villages declared open Defecation Free (ODF) plus,Percentage of Gram Panchayats with BharatNet,Percentage of Gram Panchayats with Live BharatNet connection,Percentage of Households (HHs) constructed under PMAY-G against cumulative target,Composite Score (Most Balanced Performer),Rank,Percentage relative to Total no of eligible Households (HHs) added to SHGs,Percentage of SHGs that have received Revolving Fund against total SHGs in the block,Percentage relative to No. of banking touch points (bank branch/BC/IPPB centre) located in the block,Percentage of Gram Panchayats with atleast 250 beneficiaries digitally certified under PM Digital Saksharata Abhiyaan,Composite Score (Most Balanced Performer),Rank,Transition Rate - Percentage of boys transitioned from Upper Primary to Secondary level,Transition Rate - Percentage of girls transitioned from Upper Primary to Secondary level,Transition Rate - Percentage of boys transitioned from Secondary to Higher Secondary Level,Transition Rate - Percentage of girls transitioned from Secondary to Higher Secondary Level,Percentage of elementary schools having PTR less than equal to 30,Percentage of schools having adequate no. of girls’ toilet facilities against the total number of schools,Percentage of schools having trained teachers for teaching child with special needs (CwSN),Percentage of boys with 60% and above marks in Class X board exam,Percentage of girls with 60% and above marks in Class X board exam,Percentage of boys with 60% and above marks in Class XII board exam,Percentage of girls with 60% and above marks in Class XII board exam,"Composite Score 
(Most Balanced Performer)",Rank,Percentage of FPOs formed in the block against total sanctioned,Percentage of Soil Health Cards generated against soil sample collection target,Percentage of beneficiaries under PM Kisan with land details and AEPB Seeded,Percentage of Animal Vaccinated with Bovine Vaccination (FMD),Stage of Ground Water Extraction (%),"Composite Score 
(Most Balanced Performer)",Rank,
7,Maharashtra,27,Palghar,665,Talasari,4598,98.88,100,78.4,4.35,63.11,66.11,100,54.38,1,81.06,54.18,99.23,99.91,99.42,97.81,99.12,88.33,8,61.98,100,100,0.01,65.77,3.33,18,39.3,81.73,18.43,33.33,37.48,14,88.66,88.67,53.81,56.59,48.59,71.73,16.75,11.79,14.87,17.01,16.11,33.86,24,100,100,100,89.26,68.12,90.53,1,34.99
23,Maharashtra,27,Jalna,479,Partur,4418,94.86,100,93.44,0.01,14.67,14.55,85.71,5.55,25,69.89,49.37,93.06,99.24,96.92,60.23,70.18,74.76,25,100,100,100,2.47,56.47,42.55,9,29.93,87.35,81.11,16.05,42.95,12,91.21,87.83,66.85,74.49,79.75,62.94,18.82,47.64,69.82,74.22,81.93,64.19,6,100,100,100,83.03,68.39,89.3,2,40.4
1,Maharashtra,27,Chandrapur,473,Jiwati,4358,100,100,73.6,0.01,100,100,100,9.57,5,87.57,80.47,98.67,99.12,97.44,81.6,100,91.76,5,84.48,96.3,97.14,0.01,71.91,3.56,16,3.66,94.55,0,22.86,0.53,27,90.51,93.57,98.23,93.96,96.43,76.51,16.11,52.36,59.37,48.84,62.39,65.03,5,100,100,100,80.42,67.95,88.61,3,14.56
27,Maharashtra,27,Nandurbar,486,Akarani,4474,81.52,97.11,69.71,0.01,13.89,14.81,86.92,5.17,26,77.55,55.6,98.43,98.11,93,37.15,82.19,73.71,26,29.94,71.88,100,6,77.92,39.86,13,36,88.34,64.75,55.77,58.21,2,85.48,91.23,20.78,29.73,78.81,68.08,18.89,39.46,44.31,6.48,17.53,35.02,22,100,100,100,71.65,72.11,87.63,4,37.35
6,Maharashtra,27,Palghar,665,Vikramgad,4602,99.03,100,77.14,4.76,12.82,21.44,100,37.27,3,93.56,82.8,99.12,99.76,97.68,91.33,99.67,94.66,2,67.63,100,100,0.01,55.44,3.27,19,36.15,65.79,23.73,16.67,31.14,20,84.38,84.21,54.17,56.08,63.1,88.93,14.89,10.54,15.6,11.05,12.16,32.29,25,100,100,100,57.17,83.7,86.29,5,31.63
14,Maharashtra,27,Nashik,487,Surgana,4491,97.24,99.86,81.51,0.01,24.03,24.55,100,6.45,21,74.06,64.72,99.06,99.53,97.62,88,95.2,87.3,9,64.51,100,37.7,0.01,64.93,2.75,25,43.86,45.01,16.13,55.74,36.5,17,88.56,92.33,81.39,80.52,80.34,93.88,14.36,40.08,51.07,23.23,40.77,53.94,13,100,100,100,51.85,87.58,85.4,6,25.28
19,Maharashtra,27,Palghar,665,Dahanu,4591,95.81,99.95,62.34,1.67,21.91,26.57,87.5,33.83,4,70.75,53.77,99.21,99.79,98.29,95.33,99.19,86.08,11,62.59,98.28,91.76,0.01,62.39,3.23,20,100,80.22,88.25,21.18,62.22,1,74.35,72.75,80.25,71.25,56.52,78.45,15.88,11.51,16.26,9.89,17.13,33.95,23,100,100,100,66.2,68.46,85.36,7,34.54
8,Maharashtra,27,Gadhichiroli,475,Aheri,4371,98.73,99.73,76.46,0.01,51.32,56.84,100,8.05,8,89.24,66.54,98.5,99.39,96.37,85.2,94,89.18,7,86.11,97.37,46.15,0.01,61.96,2.99,23,33.01,97.09,34.33,23.08,39.92,13,91.67,92.78,32.97,45.95,87.13,73.58,11.68,20.3,35.17,18.09,32.71,39.9,21,100,100,100,53.3,84.8,85.31,8,25.76
20,Maharashtra,27,Nandurbar,486,Navapur,4476,95.63,100,80.59,0.01,26.59,26.58,85.25,6.45,22,72.2,59.71,98.83,98.95,94.79,82.77,98.31,85.17,13,63.82,82.28,100,4.39,71.76,44.02,7,98.61,90.29,49.08,23.21,56.44,3,98.49,97.96,61.69,64.83,82.01,81.71,15.63,44.91,66.63,38.41,57.6,58.36,10,100,100,100,66.81,64.39,84.47,9,43.45
4,Maharashtra,27,Yavatmal,500,Pusad,4628,99.77,100,93.88,0.01,80.05,90.88,92.59,9.36,6,71.67,52.22,97.57,99.67,98.02,35.14,57.92,68.75,27,71.13,100,88.33,0.01,53.23,3.2,21,56.27,64.3,80.41,27.5,53.19,5,94.61,88.03,79.1,68.97,76.87,56,17.82,44.5,56.82,67.77,78.1,61.39,7,100,95.07,100,72.14,60.19,83.78,10,28.74
