srno,dname,dcode,bname,bcode,anc1_pct,inst_deliv_pct,lbw_lt2500_pct,nqas_pct,htn_scr_pct,diab_scr_pct,tb_succ_pct,hlt_cmp,hlt_rk,icds_preg_pct,icds_child_pct,meas_awc_pct,sam_pct,mam_pct,awc_toil_pct,awc_wat_pct,ntr_cmp,ntr_rk,fhtc_pct,odfplus_pct,bn_panch_pct,livebn_pct,pmayg_pct,infra_cmp,infra_rk,shg_hh_pct,shg_rev_pct,shg_bank_pct,pmdsa_pct,soc_cmp,soc_rk,trans_upsec_b_pct,trans_upsec_g_pct,trans_sechigh_b_pct,trans_sechigh_g_pct,ptr30_pct,girls_toil_pct,cwsn_teach_pct,x_b60_pct,x_g60_pct,xii_b60_pct,xii_g60_pct,edu_cmp,edu_rk,fpo_pct,soilhc_pct,pmkisan_pct,bovfmd_pct,gw_ext_pct,agr_cmp,agr_rk,total_cmp,total_rk
1,Chandrapur,473,Jiwati,4358,98.51,99.64,88.89,0,75.16,74.83,87.5,23.77,8,2.04,0.91,23.05,99.39,97.91,34.71,21.76,16.37,21,33.8,1.2,97.14,0,90.34,5.13,20,3.44,54.08,0,22.86,2.55,26,90.6,91,95.7,77,91.8,62.94,16.78,79.37,87.04,86.71,92.62,73.27,2,100,71.71,77.07,95.78,68.37,81.61,4,17.68,24
2,Washim,499,Malegaon,4613,89,99.9,89.82,0,81.1,81.01,89.67,24.09,7,19.93,11.45,79.76,99.54,98.34,25.27,29.67,38.85,5,70.78,5.26,95.18,0,79.98,7.77,11,37.99,71.16,30.58,56.63,46.52,3,100,92.5,98.3,77.6,83.45,45.56,44.44,87.55,90.18,86.22,91.09,78.92,1,100,35.96,87.48,86.65,35.41,62.65,20,34.45,4
3,Solapur,496,Akkalkot,4578,94.65,100,93.06,0,92.88,92.81,90.25,25.42,3,18.88,15.07,95.81,99.86,99.59,61.41,60.87,51.89,1,87.58,9.3,95.65,0,82.93,9.16,6,31.93,91.67,65.44,2.57,26.49,21,100,96.3,29.6,30.7,89.67,54.43,23.49,80.45,88.84,89.48,93.18,62.79,17,100,40.87,80.03,94.24,43.66,66.96,17,33.23,8
4,Yavatmal,500,Pusad,4628,93.28,100,96.83,0,98.55,98.45,96.26,26.18,2,12.44,4.92,31.1,99.53,98.78,2.71,2.71,14.54,24,51.94,0.56,86.67,0,76.25,4.54,21,45.23,57.9,72.17,19.17,43.63,4,89.8,86.6,78.8,57.3,69.32,44.85,10.2,93.12,95.76,95.25,97.52,65.31,12,50,37.09,100,96.06,61.37,64.23,19,26.1,15
5,Hingoli,477,Hingoli,4393,93.99,99.71,80.93,0,71.16,71.02,90.39,23.06,12,19.22,6.9,19.05,99.62,98.6,54.64,45.7,34.81,8,72.9,8.27,100,0,69.27,8.4,10,38.94,83.32,70.95,12.73,41.37,7,95.8,88.9,72,62.1,76.69,40.1,22.12,84.41,88.71,87.64,84.24,67.98,6,100,34.06,93.18,97.57,59.1,71.2,12,33.24,7
6,Palghar,665,Vikramgad,4602,90.29,99.61,59.89,0,85.95,86.21,81.97,22.87,14,1.64,0.44,57.5,99.58,98.79,5.84,4.55,10.12,26,8.93,2.15,100,0,95.77,4.5,22,33.52,66.59,24.77,7.15,25.07,22,87.9,89.5,56.6,55.9,68.22,79.25,13.96,60.92,61.72,71.03,70.21,59.84,21,0,51.48,87.41,99.57,84.07,3.27,26,13.13,26
7,Palghar,665,Talasari,4598,91.22,99.28,62.82,0,62.21,62.37,88.8,21.26,19,1.03,1.21,69.42,99.48,97.94,45.56,43.55,20.78,14,9.7,0,100,0,94.78,1.56,24,41.92,78.74,21.71,9.53,28.75,17,85.7,82,52.3,57.5,51.8,58.89,10.56,53.88,55.17,64.98,66.43,52.71,24,100,87.03,75.73,98.65,68.81,85.14,2,21.12,20
8,Gadhichiroli,475,Aheri,4371,95.54,99.1,72.89,0,53.16,53.23,92.42,21.01,21,17.89,4.83,16.26,99.1,98.45,3.95,2.77,14.72,23,54.31,11.18,0,0,84.28,1.39,25,30.7,94.62,18.35,23.08,33.3,13,95.9,93.4,42.3,49.7,92.63,57.27,11.26,65.44,70.1,80.47,90.87,60.21,19,100,33.06,87.03,99.62,86.53,75.67,10,20.05,21
9,Beed,470,Wadwani,4331,87.89,99.5,89.9,0,64.38,64.34,87.72,22.43,15,7.19,2.45,7.49,98.28,96.84,1.54,3.08,9.29,27,62.57,4.65,100,0,74.7,7.37,13,7.58,83.52,24.16,18.19,22.97,23,100,95,65.3,48.3,93.48,45.19,11.54,91.06,92.2,100,100,67.03,8,100,49.02,84.12,89.04,48.85,70.92,13,23.48,17
10,Osmanabad,488,Paranda,4499,96.77,100,91.15,0,65.11,65.1,93.58,23.09,11,9.69,3.16,8.61,98.95,97.33,14.29,4.23,14.77,22,76.44,1.06,100,0,75.8,5.72,18,24.11,88.52,57.49,27.78,42.97,5,99.7,99.2,29.7,29,85.71,54.38,15.53,83.06,92.9,100,97.67,61.37,18,100,46.72,91.47,94.01,41.31,69.82,15,26.66,13
11,Yavatmal,500,Zari Jamni,4633,98.52,99.63,81.13,0,72.96,74.31,96.61,23.68,9,7.67,4.71,74.38,99.2,98.32,4.26,7.09,18.67,16,59.35,0,100,1.82,84.51,6.2,17,19.25,73.56,7.34,7.28,16.59,24,100,95.9,68.5,69.2,87.29,59.15,6.34,81.82,89.91,84.98,88.42,64.64,13,100,42.55,100,92.57,75.47,78.46,5,24.76,16
12,Nanded,485,Kinwat,4465,94.96,99.57,89.7,0,83.63,83.54,90.63,24.55,6,16.74,4.33,29.67,97.69,94.34,3.53,4.86,16.55,20,60.75,1.1,0,0,75.43,0.87,27,16.61,23.73,89.6,17.7,28.12,19,98.1,97.3,87,75.5,82.78,62.93,8.91,87.58,88.97,88.45,89.15,69.36,5,50,85.3,85.62,91.62,75.37,75.92,9,19.35,23
13,Wardha,498,Karanja,4608,92.62,99.42,87.61,0,73.09,73.01,90.32,23.44,10,7.38,3.79,33.68,98.04,93.22,12.75,12.08,20.1,15,99.17,6.45,100,0,95.21,9.06,7,23.27,99.45,11.62,71.19,37.2,8,78.8,68.4,10.2,5.9,93.48,65.74,16.51,66.42,82.08,82.76,75,43.71,26,100,28.45,78.82,91.43,27.16,56.12,21,27.02,12
14,Nashik,487,Surgana,4491,88.26,99.9,84.53,0,92.47,92.53,97.73,25.07,5,7.19,5.51,48.19,98.38,93.1,19.47,23.42,25.97,12,32.75,21.05,37.7,0,97.51,7.6,12,28.78,49.03,13.76,55.74,32.25,14,92.5,95.1,81.4,71.9,81.96,78.72,13.03,82.42,86.71,83,82.55,70.44,3,100,97.61,91.47,94.04,87.53,94.03,1,31.92,10
15,Gadhichiroli,475,Bhamragarh,4373,90.27,76.27,78.1,0,44.26,44.31,93.33,19.26,25,47.5,8.6,15.39,98.22,92.78,2.22,0.74,13.78,25,19.45,5.61,0,0,92.55,1,26,0,86.41,0.61,36.85,2.1,27,97.5,94.7,46.2,24.7,94.2,64.86,2.7,16.18,26.98,67.65,71.43,39.51,27,50,43.54,81.6,98.15,92.18,69.38,16,10.73,27
16,Gadhichiroli,475,Sironcha,4382,93.5,97.22,81.4,0,50.63,50.4,84.97,20.66,22,48.17,18.39,35.06,99.08,97.75,21.43,14.88,37.05,6,56.51,7.96,33.33,0,89.49,6.69,15,12.62,67.19,8.26,10.26,16.37,25,97,98.4,56.3,46.6,84.03,71.09,16.28,77.84,77.22,73.53,76.47,64.64,13,0,18.64,79.46,98.89,64.93,2.49,27,15.43,25
17,Solapur,496,Sangola,4586,96.55,100,99.24,0,84.87,84.34,93.71,25.19,4,12.13,10.07,62.78,99.84,99.45,25.38,16.58,31.68,11,87.69,8.74,100,0,79.16,9.05,8,40.65,88.74,93.88,9.22,42.04,6,100,100,59.7,52.7,91.41,74.73,20.08,79.32,89.28,59.52,62.69,66.58,10,100,21.11,100,87.26,26.49,54.66,22,32.15,9
18,Jalna,479,Badnapur,4412,87.94,100,93.07,0,51.52,51.54,90.51,21.27,18,13.05,11.58,70.4,99.15,97.23,64.71,37.25,42.42,3,98.44,12.22,100,0,85.58,10.06,5,37.18,82.55,38.53,7.8,30.99,15,93.6,88,59.1,52.3,76.47,52.04,14.48,87.24,92.1,75.23,77.08,63.56,16,100,88.13,90.18,94.46,34.21,76.2,8,33.29,6
19,Palghar,665,Dahanu,4591,89.99,99.63,68.81,0,67.23,67.24,92.62,22.11,16,2.04,1.25,65.97,98.53,94.3,21.6,18.31,18.02,18,15.18,2.87,91.76,0,95.32,5.2,19,100,52.1,100,12.95,50.97,1,75.6,72.8,72.4,62.2,54.94,68.23,14.47,41.96,50.21,65.33,71.88,54.77,22,50,100,82.19,98.22,68.99,77.44,7,27.66,11
20,Nandurbar,486,Navapur,4476,93.27,99.8,75.76,0,75.86,75.86,81.41,22.9,13,16.11,13.58,92.88,99.68,98.51,26.91,17.56,36.96,7,38.17,4.43,100,2.63,95.27,21.15,3,85.12,81.48,50.76,15.18,48.08,2,100,96.4,60.1,59,89.51,73.21,10.71,80.39,86.3,67.47,69.58,64.33,15,100,33.27,100,95.47,67.08,73.4,11,39.95,1
21,Amravati,468,Chikhaldara,4304,77.28,92.98,87.19,0,42.01,41.88,92.39,19.36,24,0.4,1.98,33.57,99.1,96.33,55.02,49.34,18.31,17,60.52,8.16,94.44,0,93.44,8.47,9,9.49,80.09,28.75,30.19,28.5,18,100,100,71.6,80.1,89.63,60.3,16.58,80.99,84.09,83.59,71.1,70.32,4,0,27.69,85.81,92.72,32.95,9.38,24,19.58,22
