"srno","dname","dcode","bname","bcode","anc1_pct","inst_deliv_pct","lbw_lt2500_pct","nqas_pct","htn_scr_pct","diab_scr_pct","tb_succ_pct","hlt_cmp","hlt_rk","icds_preg_pct","icds_child_pct","meas_awc_pct","sam_pct","mam_pct","awc_toil_pct","awc_wat_pct","ntr_cmp","ntr_rk","fhtc_pct","odfplus_pct","bn_panch_pct","livebn_pct","pmayg_pct","infra_cmp","infra_rk","shg_hh_pct","shg_rev_pct","shg_bank_pct","pmdsa_pct","soc_cmp","soc_rk","trans_upsec_b_pct","trans_upsec_g_pct","trans_sechigh_b_pct","trans_sechigh_g_pct","ptr30_pct","girls_toil_pct","cwsn_teach_pct","x_b60_pct","x_g60_pct","xii_b60_pct","xii_g60_pct","edu_cmp","edu_rk","fpo_pct","soilhc_pct","pmkisan_pct","bovfmd_pct","gw_ext_pct","agr_cmp","agr_rk","total_cmp","total_rk"
"1","Chandrapur","473","Jiwati","4358","100","100","90.35","0","100","100","89.47","26.02","5","95.68","92.46","99.81","99.18","97.63","76.07","100","94.04","2","85.19","96.3","97.14","0","50.92","13.23","19","3.97","100","0","22.86","3.09","27","90.51","93.57","98.23","93.96","96.43","76.51","16.11","52.36","59.37","48.84","62.39","65.03","5","100","100","100","100","67.95","92.56","11","29.06","26"
"2","Washim","499","Malegaon","4613","100","100","99.11","0","25.3","29.68","86.54","18.13","23","97.42","96.66","100","100","100","82.56","94.19","95.65","1","95.7","100","98.8","2.44","28.01","36.48","16","40.24","100","28.09","65.06","52.08","6","93.84","92.53","100","95.42","87.5","79.33","50.84","39.64","60.71","85.29","89.69","76.67","1","100","100","100","100","40.19","83.33","19","52.55","3"
"3","Solapur","496","Akkalkot","4578","99.92","100","93.57","0","47.37","49","85.71","21.1","15","75.62","69.11","99.75","99.81","98.51","69.81","95.96","85.84","16","99.9","100","98.26","3.54","28.81","39.82","11","35.81","91.43","53.85","5.13","30.84","21","96.9","96.28","31.04","27.31","83.54","64.11","27.79","38.3","56.79","35.24","61.95","50.62","18","100","100","100","93.03","44.2","83.72","18","45.96","14"
"4","Yavatmal","500","Pusad","4628","98.63","100","97.96","0","80.52","91.6","90","25.18","6","77.1","61.58","99.43","99.58","97.78","35.14","57.92","71.29","27","73.6","100","88.33","0","32.37","11.6","22","54.66","64.51","100","27.5","55.8","3","94.61","88.03","79.1","68.97","76.87","56","17.82","44.5","56.82","67.77","78.1","61.39","7","100","95.07","100","100","60.19","89.44","16","43.07","20"
"5","Hingoli","477","Hingoli","4393","100","100","88.98","0","66.82","64.92","100","23.42","10","87.26","83.53","99.54","99.04","94.6","93.12","93.12","92.73","6","86.31","87.97","100","0","21.26","11.01","24","42.05","94.66","97.16","14.55","48.7","7","91.87","93.71","73.87","70.1","85.05","57.67","28.24","46.43","59","70.5","74.43","65.08","4","100","100","100","100","59.51","90.14","14","43.56","19"
"6","Palghar","665","Vikramgad","4602","98.93","100","77.33","4.76","24.89","33.68","100","43.72","3","91.15","76.78","99.26","99.72","97.85","91.33","99.67","93.33","5","70.13","100","100","0","38.51","12.2","21","30.05","87.63","24.08","16.67","32.06","20","84.38","84.21","54.17","56.08","63.1","88.93","14.89","10.54","15.6","11.05","12.16","32.29","25","100","100","100","69.82","83.7","89.81","15","40.82","22"
"7","Palghar","665","Talasari","4598","99.09","100","75.48","4.35","65.45","68.5","93.33","54.13","2","79.21","52.42","99.39","99.95","99.36","97.81","99.12","87.65","11","65.72","100","100","0","44.72","12.41","20","30.61","100","19.06","33.33","37.34","16","88.66","88.67","53.81","56.59","48.59","71.73","16.75","11.79","14.87","17.01","16.11","33.86","24","100","100","100","100","68.12","92.61","10","43.62","18"
"8","Gadhichiroli","475","Aheri","4371","98.12","99.11","76.63","0","51.38","57.32","94.74","21.44","12","92.51","75.7","99.39","99.3","96.55","85.2","94","91.44","7","86.62","98.03","46.15","11.11","47.1","45.96","6","31.9","99.09","29.1","23.08","38.17","15","91.67","92.78","32.97","45.95","87.13","73.58","11.68","20.3","35.17","18.09","32.71","39.9","21","100","100","100","100","84.8","96.76","3","48.66","8"
"9","Beed","470","Wadwani","4331","100","100","100","0","44.36","46.5","100","21.41","13","77","75.43","98.44","99.14","96.42","52.99","88.03","82.26","21","90.71","97.67","100","2.86","36.29","39.15","12","7.16","87.18","40.97","33.33","30.38","22","95.21","91.77","90.45","57.58","87.5","61.9","11.43","64.84","72.79","88.48","86.32","65.89","3","100","60.6","93.96","81.8","48.79","74.35","26","46.62","12"
"10","Osmanabad","488","Paranda","4499","98.08","100","93.62","0","39.27","39.51","100","20.31","16","78.65","72.85","97.47","99.19","96.27","80.73","100","88.66","10","91.94","98.94","100","18.06","36.14","56.85","3","22.02","100","51.17","34.72","44.47","11","91.83","94.05","20.19","23.8","80.63","76.97","28.31","45.57","71.63","53.57","69.23","52.76","15","100","81.13","100","100","41.38","80.39","25","51.8","4"
